17:09:05,507 root INFO Average reward for agent 0 with hyperparams {'exploration_timesteps': 1000, 'policy_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'policy_architecture': (64, 64), 'q_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'q_architecture': (64, 64), 'update_frequency_in_episodes': 25, 'update_start_in_episodes': 100} is 461.6477470820928
17:09:05,507 root INFO Average reward for agent 1 with hyperparams {'exploration_timesteps': 1000, 'policy_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'policy_architecture': (64, 64), 'q_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'q_architecture': (64, 64), 'update_frequency_in_episodes': 25, 'update_start_in_episodes': 500} is 254.32564697318762
17:09:05,507 root INFO Average reward for agent 2 with hyperparams {'exploration_timesteps': 1000, 'policy_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'policy_architecture': (64, 64), 'q_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'q_architecture': (64, 64), 'update_frequency_in_episodes': 25, 'update_start_in_episodes': 1000} is 238.69359370826083
17:09:05,507 root INFO Average reward for agent 3 with hyperparams {'exploration_timesteps': 1000, 'policy_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'policy_architecture': (64, 64), 'q_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'q_architecture': (64, 64), 'update_frequency_in_episodes': 50, 'update_start_in_episodes': 100} is 311.66864359591204
17:09:05,507 root INFO Average reward for agent 4 with hyperparams {'exploration_timesteps': 1000, 'policy_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'policy_architecture': (64, 64), 'q_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'q_architecture': (64, 64), 'update_frequency_in_episodes': 50, 'update_start_in_episodes': 500} is 261.6629439745059
17:09:05,507 root INFO Average reward for agent 5 with hyperparams {'exploration_timesteps': 1000, 'policy_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'policy_architecture': (64, 64), 'q_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'q_architecture': (64, 64), 'update_frequency_in_episodes': 50, 'update_start_in_episodes': 1000} is 203.58489090818762
17:09:05,508 root INFO Average reward for agent 6 with hyperparams {'exploration_timesteps': 5000, 'policy_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'policy_architecture': (64, 64), 'q_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'q_architecture': (64, 64), 'update_frequency_in_episodes': 25, 'update_start_in_episodes': 100} is 323.62430117866785
17:09:05,508 root INFO Average reward for agent 7 with hyperparams {'exploration_timesteps': 5000, 'policy_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'policy_architecture': (64, 64), 'q_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'q_architecture': (64, 64), 'update_frequency_in_episodes': 25, 'update_start_in_episodes': 500} is 316.5365359784895
17:09:05,508 root INFO Average reward for agent 8 with hyperparams {'exploration_timesteps': 5000, 'policy_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'policy_architecture': (64, 64), 'q_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'q_architecture': (64, 64), 'update_frequency_in_episodes': 25, 'update_start_in_episodes': 1000} is 248.43223777959298
17:09:05,508 root INFO Average reward for agent 9 with hyperparams {'exploration_timesteps': 5000, 'policy_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'policy_architecture': (64, 64), 'q_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'q_architecture': (64, 64), 'update_frequency_in_episodes': 50, 'update_start_in_episodes': 100} is 293.9447452217188
17:09:05,508 root INFO Average reward for agent 10 with hyperparams {'exploration_timesteps': 5000, 'policy_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'policy_architecture': (64, 64), 'q_activation_function': <class 'torch.nn.modules.activation.ReLU'>, 'q_architecture': (64, 64), 'update_frequency_in_episodes': 50, 'update_start_in_episodes': 500} is 283.08579979957364
